Unnamed: 0,link,text,user,likes,quotes,retweets,comments
0,https://twitter.com/elonmusk/status/1861831544610144440#m,“Respect for the truth comes close to being the basis of all morality.” - Dune,Elon Musk,63299,749,8905,6663
1,https://twitter.com/Tesla_Optimus/status/1861877856512753792#m,Why lol  That’s my family,Tesla Optimus,9068,41,438,469
2,https://twitter.com/SenJoniErnst/status/1861851243846455406#m,"Reporting for @DOGE duty!🫡  For the last decade, I have been sounding the alarm on waste, fraud, and abuse and am thrilled to build off this work with @elonmusk and @VivekGRamaswamy.  Let’s #MakeEmSqueal!",Joni Ernst,5580,58,753,480
3,https://twitter.com/elonmusk/status/1861914092279333078#m,"Thanks Pat, indeed great work by the @xAI team",Elon Musk,7778,38,1001,989
4,https://twitter.com/elonmusk/status/1861892935421403300#m,Thanks Gary!,Elon Musk,16671,79,1627,1770
5,https://twitter.com/ZachWarunek/status/1861882113831682065#m,The time has finally come. You can now see your verified follower count in 𝕏 Analytics!  Premium -> Analytics 📊,Zach Warunek,2897,110,433,536
6,https://twitter.com/SpeakerJohnson/status/1861850296353243639#m,"Looking forward to hosting @elonmusk and @VivekGRamaswamy next week on Capitol Hill to discuss major reform ideas to achieve regulatory rescissions, administrative reductions, and cost savings—& revive the principle of limited government! @realDonaldTrump has made this possible!",Speaker Mike Johnson,14878,286,2315,1453
7,https://twitter.com/Tesla_AI/status/1861873636204011867#m,Russ Hanneman would be proud of these doors,Tesla AI,6507,67,650,467
8,https://twitter.com/elonmusk/status/1861871019730014286#m,Yeah,Elon Musk,8085,35,1328,1126
9,https://twitter.com/elonmusk/status/1861831771769414038#m,Yes,Elon Musk,58373,451,4513,5051
10,https://twitter.com/AutismCapital/status/1861827918638489801#m,"🚨""Elon did two things that opened a lot of things up:  1) He bought Twitter which gave us a place to talk about this stuff.  2) He himself started to express himself so he gave the rest of us a permission structure to say these things.  This created a cascade where people felt safe and thought: ""Oh you can now talk about things? Well, I have some things to say.""",Autism Capital 🧩,11820,109,1904,676
11,https://twitter.com/elonmusk/status/1861827362482209058#m,True,Elon Musk,33323,258,5269,2016
12,https://twitter.com/elonmusk/status/1861826998441746485#m,Warmongers love warmongers,Elon Musk,32606,124,5254,1536
13,https://twitter.com/elonmusk/status/1861826396294894056#m,"By their definition, most of America – aka you – are “far right” 😂",Elon Musk,24955,128,4392,1920
14,https://twitter.com/elonmusk/status/1861825587633070487#m,🤔,Elon Musk,10433,56,1395,1138
15,https://twitter.com/elonmusk/status/1861825141581152440#m,"And next year, Falcon is aiming for >150 flights!",Elon Musk,12955,83,1463,1048
16,https://twitter.com/teslaownersSV/status/1861824101977125248#m,The starship will take us to Mars. Multi planetary existence is just a matter of time.,Tesla Owners Silicon Valley,5465,48,868,519
17,https://twitter.com/elonmusk/status/1861824194113343870#m,"Simplifying the tax code will increase productivity, instead of incentivizing bizarre tax-avoidance behavior",Elon Musk,46837,380,7561,3984
18,https://twitter.com/elonmusk/status/1861823476233019640#m,Congratulations to the @SpaceX team for completing 400 successful orbital flights of Falcon and 375 landings!!,Elon Musk,54172,232,6257,2365
19,https://twitter.com/chamath/status/1861822370409058578#m,"Can’t believe up until three weeks ago, many people thought racial intersectionality was more important than physics and math.  Make Education Great Again!",Chamath Palihapitiya,13907,51,1387,517
20,https://twitter.com/elonmusk/status/1861822240263905655#m,Yes!,Elon Musk,80183,568,9288,4415
21,https://twitter.com/elonmusk/status/1861820583446716498#m,Another case of two tier justice,Elon Musk,32062,143,5874,1666
22,https://twitter.com/pmarca/status/1861818187597119749#m,🪟🧨💥🇺🇸,Marc Andreessen 🇺🇸,5569,14,581,285
23,https://twitter.com/elonmusk/status/1861817762848584042#m,"From the head of Australian government-funded media, their Pravda",Elon Musk,35236,155,3342,1987
24,https://twitter.com/elonmusk/status/1861806437326053821#m,This is messed up,Elon Musk,71493,405,15409,3550
25,https://twitter.com/TheChiefNerd/status/1861804529877979225#m,PSA: I noticed another large account I follow was hacked today. Please do yourself a favor and turn on 2FA security on your account to help prevent this from happening to you. Steps below:  Settings & Support  > Settings & Privacy  > Security & Account Access  > Security  > Two-factor Authentication,Chief Nerd,3313,33,691,301
26,https://twitter.com/elonmusk/status/1861804847399583861#m,Amazing. Legacy media lies.,Elon Musk,191387,1400,49003,6528
27,https://twitter.com/elonmusk/status/1861804194476544089#m,Government overspending is what creates inflation.   We need to make that link crystal clear to the American people!,Elon Musk,76812,775,14619,6589
28,https://twitter.com/elonmusk/status/1861803118746620262#m,"Most effective is to send X.com links to source material where people can hear what someone actually said, rather than the false representation of the legacy media",Elon Musk,14416,65,2343,1125
29,https://twitter.com/elonmusk/status/1861801650383659230#m,Looks like the people want to abolish the annoying time changes!,Elon Musk,129666,1340,10388,13491
30,https://twitter.com/BasedTorba/status/1861671164780638635#m,"Yes, I was one of them.",Andrew Torba,26494,137,4688,566
31,https://twitter.com/elonmusk/status/1861801046949191686#m,Too many game studios that are owned by massive corporations.   @xAI is going to start an AI game studio to make games great again!,Elon Musk,96467,2465,9378,9817
32,https://twitter.com/elonmusk/status/1861800710968611210#m,Voter ID is needed,Elon Musk,95676,286,11554,2716
33,https://twitter.com/elonmusk/status/1861800300916727929#m,Cool,Elon Musk,31354,119,3785,2143
34,https://twitter.com/elonmusk/status/1861800183010615800#m,Yes,Elon Musk,63090,113,8094,1242
35,https://twitter.com/elonmusk/status/1861800119047422242#m,Gonna happen 😂,Elon Musk,202355,1153,25350,7978
